,movieId,average_score,title,genres,tag
0,1,3.9209302325581397,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,pixar|pixar|fun
1,2,3.4318181818181817,Jumanji (1995),Adventure|Children|Fantasy,fantasy|magic board game|Robin Williams|game
2,3,3.2596153846153846,Grumpier Old Men (1995),Comedy|Romance,moldy|old
3,4,2.357142857142857,Waiting to Exhale (1995),Comedy|Drama|Romance,
4,5,3.0714285714285716,Father of the Bride Part II (1995),Comedy,pregnancy|remake
5,6,3.946078431372549,Heat (1995),Action|Crime|Thriller,
6,7,3.185185185185185,Sabrina (1995),Comedy|Romance,remake
7,8,2.875,Tom and Huck (1995),Adventure|Children,
8,9,3.125,Sudden Death (1995),Action,
9,10,3.496212121212121,GoldenEye (1995),Action|Adventure|Thriller,
10,11,3.6714285714285713,"American President, The (1995)",Comedy|Drama|Romance,politics|president
11,12,2.4210526315789473,Dracula: Dead and Loving It (1995),Comedy|Horror,
12,13,3.125,Balto (1995),Adventure|Animation|Children,
13,14,3.8333333333333335,Nixon (1995),Drama,politics|president
14,15,3.0,Cutthroat Island (1995),Action|Adventure|Romance,
15,16,3.926829268292683,Casino (1995),Crime|Drama,Mafia
16,17,3.7761194029850746,Sense and Sensibility (1995),Drama|Romance,Jane Austen
17,18,3.7,Four Rooms (1995),Comedy,
18,19,2.727272727272727,Ace Ventura: When Nature Calls (1995),Comedy,
19,20,2.5,Money Train (1995),Action|Comedy|Crime|Drama|Thriller,
20,21,3.49438202247191,Get Shorty (1995),Comedy|Crime|Thriller,Hollywood
21,22,3.2222222222222223,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller,serial killer
22,23,3.125,Assassins (1995),Action|Crime|Thriller,
23,24,3.125,Powder (1995),Drama|Sci-Fi,
24,25,3.625,Leaving Las Vegas (1995),Drama|Romance,alcoholism
25,26,3.5,Othello (1995),Drama,Shakespeare
26,27,3.3333333333333335,Now and Then (1995),Children|Drama,
27,28,4.2272727272727275,Persuasion (1995),Drama|Romance,In Netflix queue|Jane Austen
28,29,4.0131578947368425,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Adventure|Drama|Fantasy|Mystery|Sci-Fi,kidnapping
29,30,3.0,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Crime|Drama,
30,31,3.1842105263157894,Dangerous Minds (1995),Drama,high school|teacher
31,32,3.983050847457627,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller,time travel|time travel|Brad Pitt|Bruce Willis|mindfuck|Post apocalyptic|post-apocalyptic|remake|time travel|twist ending
32,34,3.65234375,Babe (1995),Children|Drama,Animal movie|pigs|villain nonexistent or not needed for good story
33,36,3.8358208955223883,Dead Man Walking (1995),Crime|Drama,death penalty|Nun
34,38,2.125,It Takes Two (1995),Children|Comedy,twins
35,39,3.293269230769231,Clueless (1995),Comedy|Romance,chick flick|funny|Paul Rudd|quotable|seen more than once|Emma|Jane Austen
36,40,4.25,"Cry, the Beloved Country (1995)",Drama,In Netflix queue|South Africa
37,41,3.7,Richard III (1995),Drama|War,Shakespeare
38,42,3.0,Dead Presidents (1995),Action|Crime|Drama,
39,43,3.1875,Restoration (1995),Drama,England
40,44,2.5434782608695654,Mortal Kombat (1995),Action|Adventure|Fantasy,
41,45,3.3125,To Die For (1995),Comedy|Drama|Thriller,Journalism
42,46,3.066666666666667,How to Make an American Quilt (1995),Drama|Romance,wedding
43,47,3.9753694581280787,Seven (a.k.a. Se7en) (1995),Mystery|Thriller,mystery|twist ending|serial killer
44,48,3.1470588235294117,Pocahontas (1995),Animation|Children|Drama|Musical|Romance,
45,49,3.0,When Night Is Falling (1995),Drama|Romance,
46,50,4.237745098039215,"Usual Suspects, The (1995)",Crime|Mystery|Thriller,mindfuck|suspense|thriller|tricky|twist ending|heist
47,52,3.4642857142857144,Mighty Aphrodite (1995),Comedy|Drama|Romance,adoption|prostitution
48,53,5.0,Lamerica (1994),Adventure|Drama,
49,54,2.3333333333333335,"Big Green, The (1995)",Children|Comedy,
50,55,4.0,Georgia (1995),Drama,
51,57,3.0625,Home for the Holidays (1995),Drama,
52,58,4.027027027027027,"Postman, The (Postino, Il) (1994)",Comedy|Drama|Romance,writing
53,60,3.235294117647059,"Indian in the Cupboard, The (1995)",Adventure|Children|Fantasy,
54,61,3.75,Eye for an Eye (1996),Drama|Thriller,
55,62,3.70625,Mr. Holland's Opus (1995),Drama,music
56,63,2.7142857142857144,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Comedy|Crime,
57,64,2.2,Two if by Sea (1996),Comedy|Romance,
58,65,2.532258064516129,Bio-Dome (1996),Comedy,
59,66,2.5,Lawnmower Man 2: Beyond Cyberspace (1996),Action|Sci-Fi|Thriller,
60,68,3.4,French Twist (Gazon maudit) (1995),Comedy|Romance,
61,69,3.775,Friday (1995),Comedy,
62,70,3.5090909090909093,From Dusk Till Dawn (1996),Action|Comedy|Horror|Thriller,
63,71,1.7,Fair Game (1995),Action,
64,72,3.2142857142857144,Kicking and Screaming (1995),Comedy|Drama,
65,73,3.4615384615384617,"Misérables, Les (1995)",Drama|War,
66,74,4.0,Bed of Roses (1996),Drama|Romance,
67,75,2.2,Big Bully (1996),Comedy|Drama,
68,76,3.4,Screamers (1995),Action|Sci-Fi|Thriller,
69,77,4.0,Nico Icon (1995),Documentary,
70,78,3.3333333333333335,"Crossing Guard, The (1995)",Action|Crime|Drama|Thriller,
71,79,2.764705882352941,"Juror, The (1996)",Drama|Thriller,
72,80,4.0,"White Balloon, The (Badkonake sefid) (1995)",Children|Drama,
73,81,3.107142857142857,Things to Do in Denver When You're Dead (1995),Crime|Drama|Romance,
74,82,3.875,Antonia's Line (Antonia) (1995),Comedy|Drama,
75,83,3.0,Once Upon a Time... When We Were Colored (1995),Drama|Romance,
76,85,3.857142857142857,Angels and Insects (1995),Drama|Romance,
77,86,3.966666666666667,White Squall (1996),Action|Adventure|Drama,
78,87,2.5,Dunston Checks In (1996),Children|Comedy,
79,88,3.15625,Black Sheep (1996),Comedy,
